gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,GAME_ID
0042300315,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:36 PM EST),period,start,0,0,1,0042300315
0042300315,4,PT12M00.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Jump Ball Gobert vs. Gafford: Tip to Conley,Jump Ball,,1,0,2,0042300315
0042300315,7,PT11M45.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,51,131,14,Missed,1,,,0,h,MISS Edwards 14' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,3,0042300315
0042300315,8,PT11M43.00S,1,1610612750,MIN,1626157,Towns,K. Towns,0,0,0,,0,,,0,h,Towns REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,4,0042300315
0042300315,9,PT11M43.00S,1,1610612750,MIN,1626157,Towns,K. Towns,0,0,0,Made,1,2,0,2,h,Towns Putback Layup (2 PTS),Made Shot,Putback Layup Shot,1,2,5,0042300315
0042300315,10,PT11M28.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,-32,70,8,Made,1,2,2,4,v,Doncic 8' Turnaround Jump Shot (2 PTS) (Washington 1 AST),Made Shot,Turnaround Jump Shot,1,2,6,0042300315
0042300315,12,PT11M28.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,Gobert Violation:Defensive Goaltending (J.Goble),Violation,Defensive Goaltending,1,0,7,0042300315
0042300315,13,PT11M11.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,9,9,1,Made,1,4,2,6,h,Gobert 1' Driving Layup (2 PTS) (Conley 1 AST),Made Shot,Driving Layup Shot,1,2,8,0042300315
0042300315,15,PT11M02.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,-175,257,31,Made,1,4,5,9,v,Doncic 31' 3PT Jump Shot (5 PTS) (Irving 1 AST),Made Shot,Jump Shot,1,3,9,0042300315
0042300315,17,PT10M47.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,-143,89,17,Missed,1,,,0,h,MISS McDaniels 17' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,10,0042300315
0042300315,18,PT10M45.00S,1,1610612742,DAL,202681,Irving,K. Irving,0,0,0,,0,,,0,v,Irving REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11,0042300315
0042300315,19,PT10M41.00S,1,1610612742,DAL,202681,Irving,K. Irving,17,63,7,Missed,1,,,0,v,MISS Irving 7' Running Layup,Missed Shot,Running Layup Shot,1,2,12,0042300315
0042300315,19,PT10M41.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels BLOCK (1 BLK),,,1,2,13,0042300315
0042300315,21,PT10M41.00S,1,1610612742,DAL,1629655,Gafford,D. Gafford,0,0,0,,0,,,0,v,Gafford REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,14,0042300315
0042300315,22,PT10M38.00S,1,1610612742,DAL,1629655,Gafford,D. Gafford,0,0,0,Made,1,4,7,11,v,Gafford Putback Layup (2 PTS),Made Shot,Putback Layup Shot,1,2,15,0042300315
0042300315,23,PT10M24.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,227,-2,0,Missed,1,,,0,h,MISS McDaniels 3PT Jump Shot,Missed Shot,Jump Shot,1,3,16,0042300315
0042300315,24,PT10M21.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,0,0,0,,0,,,0,h,Edwards REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,17,0042300315
0042300315,25,PT10M21.00S,1,1610612750,MIN,1630162,Edwards,A. Edwards,-4,-4,1,Made,1,6,7,13,h,Edwards 1' Tip Dunk Shot (2 PTS),Made Shot,Tip Dunk Shot,1,2,18,0042300315
0042300315,26,PT10M06.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,-207,196,29,Made,1,6,10,16,v,Doncic 29' 3PT Step Back Jump Shot (8 PTS),Made Shot,Step Back Jump shot,1,3,19,0042300315
0042300315,27,PT09M53.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,1,0,20,0042300315
0042300315,28,PT09M45.00S,1,1610612742,DAL,202681,Irving,K. Irving,22,22,3,Missed,1,,,0,v,MISS Irving 3' Driving Layup,Missed Shot,Driving Layup Shot,1,2,21,0042300315
0042300315,28,PT09M45.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels BLOCK (2 BLK),,,1,2,22,0042300315
0042300315,30,PT09M45.00S,1,1610612750,MIN,201144,Conley,M. Conley,0,0,0,,0,,,0,h,Conley REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,23,0042300315
0042300315,31,PT09M38.00S,1,1610612750,MIN,1626157,Towns,K. Towns,-39,30,5,Missed,1,,,0,h,MISS Towns 5' Running Layup,Missed Shot,Running Layup Shot,1,2,24,0042300315
0042300315,32,PT09M35.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,0,0,0,,0,,,0,v,Doncic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,25,0042300315
0042300315,33,PT09M27.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,32,165,17,Made,1,6,12,18,v,Doncic 17' Step Back Jump Shot (10 PTS),Made Shot,Step Back Jump shot,1,2,26,0042300315
0042300315,34,PT09M13.00S,1,1610612750,MIN,1626157,Towns,K. Towns,-225,80,24,Missed,1,,,0,h,MISS Towns 24' 3PT Jump Shot,Missed Shot,Jump Shot,1,3,27,0042300315
0042300315,35,PT09M11.00S,1,1610612742,DAL,202681,Irving,K. Irving,0,0,0,,0,,,0,v,Irving REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,28,0042300315
0042300315,36,PT09M05.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels S.FOUL (P1.T1) (J.Goble),Foul,Shooting,1,0,29,0042300315
0042300315,38,PT09M05.00S,1,1610612742,DAL,1629023,Washington,P. Washington,0,0,0,,0,6,13,19,v,Washington Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,30,0042300315
0042300315,39,PT09M05.00S,1,1610612742,DAL,1629655,Gafford,D. Gafford,0,0,0,,0,,,0,v,SUB: Lively II FOR Gafford,Substitution,,0,0,31,0042300315
0042300315,41,PT09M05.00S,1,1610612742,DAL,1629023,Washington,P. Washington,0,0,0,,0,6,14,20,v,Washington Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,32,0042300315
0042300315,42,PT08M41.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,4,77,8,Missed,1,,,0,h,MISS Gobert 8' Floating Jump Shot,Missed Shot,Floating Jump shot,1,2,33,0042300315
0042300315,43,PT08M40.00S,1,1610612750,MIN,1626157,Towns,K. Towns,0,0,0,,0,,,0,h,Towns REBOUND (Off:2 Def:0),Rebound,Unknown,1,0,34,0042300315
0042300315,44,PT08M40.00S,1,1610612750,MIN,1626157,Towns,K. Towns,0,0,0,Made,1,8,14,22,h,Towns Putback Layup (4 PTS),Made Shot,Putback Layup Shot,1,2,35,0042300315
0042300315,45,PT08M34.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,McDaniels P.FOUL (P2.T2) (K.Scott),Foul,Personal,1,0,36,0042300315
0042300315,47,PT08M28.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,4,61,6,Made,1,8,16,24,v,Doncic 6' Driving Floating Jump Shot (12 PTS),Made Shot,Driving Floating Jump Shot,1,2,37,0042300315
0042300315,48,PT08M04.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,-2,-1,0,Made,1,10,16,26,h,Gobert Driving Layup (4 PTS),Made Shot,Driving Layup Shot,1,2,38,0042300315
0042300315,49,PT08M04.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,0,0,0,,0,,,0,v,Doncic S.FOUL (P1.T1) (K.Scott),Foul,Shooting,1,0,39,0042300315
0042300315,51,PT08M04.00S,1,1610612750,MIN,1630183,McDaniels,J. McDaniels,0,0,0,,0,,,0,h,SUB: Anderson FOR McDaniels,Substitution,,0,0,40,0042300315
0042300315,53,PT08M04.00S,1,1610612750,MIN,203497,Gobert,R. Gobert,0,0,0,,0,,,0,h,MISS Gobert Free Throw 1 of 1,Free Throw,Free Throw 1 of 1,1,0,41,0042300315
0042300315,54,PT08M03.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,0,0,0,,0,,,0,v,Doncic REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,42,0042300315
0042300315,55,PT07M55.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,59,286,29,Missed,1,,,0,v,MISS Doncic 29' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,43,0042300315
0042300315,56,PT07M53.00S,1,1610612750,MIN,201144,Conley,M. Conley,0,0,0,,0,,,0,h,Conley REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,44,0042300315
0042300315,57,PT07M30.00S,1,1610612750,MIN,203937,Anderson,K. Anderson,-61,41,7,Missed,1,,,0,h,MISS Anderson 7' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,1,2,45,0042300315
0042300315,58,PT07M29.00S,1,1610612742,DAL,1629023,Washington,P. Washington,0,0,0,,0,,,0,v,Washington REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,46,0042300315
