gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,GAME_ID
0042300402,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:09 PM EST),period,start,0,0,1,0042300402
0042300402,4,PT12M00.00S,1,1610612738,BOS,201143,Horford,A. Horford,0,0,0,,0,,,0,h,Jump Ball Horford vs. Gafford: Tip to Jones Jr.,Jump Ball,,1,0,2,0042300402
0042300402,7,PT11M38.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,-54,129,14,Made,1,0,2,2,v,Doncic 14' Turnaround Fadeaway (2 PTS),Made Shot,Turnaround Fadeaway shot,1,2,3,0042300402
0042300402,8,PT11M30.00S,1,1610612738,BOS,201950,Holiday,J. Holiday,12,5,1,Made,1,2,2,4,h,Holiday 1' Cutting Layup Shot (2 PTS) (White 1 AST),Made Shot,Cutting Layup Shot,1,2,4,0042300402
0042300402,10,PT11M11.00S,1,1610612742,DAL,202681,Irving,K. Irving,9,-1,1,Made,1,2,4,6,v,Irving 1' Driving Layup (2 PTS),Made Shot,Driving Layup Shot,1,2,5,0042300402
0042300402,12,PT10M59.00S,1,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,Brown Out of Bounds - Bad Pass Turnover Turnover (P1.T1),Turnover,Out of Bounds - Bad Pass Turnover,1,0,6,0042300402
0042300402,13,PT10M48.00S,1,1610612742,DAL,1629023,Washington,P. Washington,-161,225,28,Made,1,2,7,9,v,Washington 28' 3PT Jump Shot (3 PTS) (Irving 1 AST),Made Shot,Jump Shot,1,3,7,0042300402
0042300402,15,PT10M28.00S,1,1610612738,BOS,1627759,Brown,J. Brown,25,69,7,Missed,1,,,0,h,MISS Brown 7' Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,2,8,0042300402
0042300402,16,PT10M27.00S,1,0,,1610612742,,,0,0,0,,0,,,0,v,Mavericks Rebound,Rebound,Unknown,0,0,9,0042300402
0042300402,18,PT10M12.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,89,150,17,Missed,1,,,0,v,MISS Doncic 17' Turnaround Fadeaway Shot,Missed Shot,Turnaround Fadeaway shot,1,2,10,0042300402
0042300402,19,PT10M08.00S,1,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,h,Brown REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,11,0042300402
0042300402,20,PT10M05.00S,1,1610612738,BOS,201143,Horford,A. Horford,-10,-4,1,Made,1,4,7,11,h,Horford 1' Running Dunk (2 PTS) (Brown 1 AST),Made Shot,Running Dunk Shot,1,2,12,0042300402
0042300402,22,PT09M52.00S,1,1610612742,DAL,1629023,Washington,P. Washington,-29,29,4,Missed,1,,,0,v,MISS Washington 4' Driving Layup,Missed Shot,Driving Layup Shot,1,2,13,0042300402
0042300402,24,PT09M50.00S,1,0,,1610612742,,,0,0,0,,0,,,0,v,Mavericks Rebound,Rebound,Unknown,0,0,14,0042300402
