gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,GAME_ID
0042300403,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0,,Start of 1st Period (8:39 PM EST),period,start,0,0,1,0042300403
0042300403,4,PT12M00.00S,1,1610612742,DAL,1629655,Gafford,D. Gafford,0,0,0,,0,,,0,h,Jump Ball Gafford vs. Horford: Tip to Doncic,Jump Ball,,1,0,2,0042300403
0042300403,7,PT11M46.00S,1,1610612742,DAL,202681,Irving,K. Irving,17,20,3,Made,1,2,0,2,h,Irving 3' Driving Layup (2 PTS) (Doncic 1 AST),Made Shot,Driving Layup Shot,1,2,3,0042300403
0042300403,9,PT11M23.00S,1,1610612738,BOS,201143,Horford,A. Horford,2,96,10,Made,1,2,2,4,v,Horford 10' Floating Jump Shot (2 PTS) (Brown 1 AST),Made Shot,Floating Jump shot,1,2,4,0042300403
0042300403,11,PT11M14.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,-174,202,27,Made,1,5,2,7,h,Doncic 27' 3PT Step Back Jump Shot (3 PTS),Made Shot,Step Back Jump shot,1,3,5,0042300403
0042300403,12,PT11M02.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,v,Tatum Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,6,0042300403
0042300403,12,PT11M02.00S,1,1610612742,DAL,1627884,Jones Jr.,D. Jones Jr.,0,0,0,,0,,,0,h,Jones Jr. STEAL (1 STL),,,1,0,7,0042300403
0042300403,14,PT10M58.00S,1,1610612742,DAL,1627884,Jones Jr.,D. Jones Jr.,-10,21,2,Made,1,7,2,9,h,Jones Jr. 2' Running Layup (2 PTS),Made Shot,Running Layup Shot,1,2,8,0042300403
0042300403,15,PT10M45.00S,1,1610612738,BOS,201950,Holiday,J. Holiday,-223,-18,0,Missed,1,,,0,v,MISS Holiday 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,9,0042300403
0042300403,16,PT10M42.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,0,0,0,,0,,,0,h,Doncic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,10,0042300403
0042300403,17,PT10M35.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,0,0,0,,0,,,0,h,Doncic Lost Ball Turnover (P1.T1),Turnover,Lost Ball,1,0,11,0042300403
0042300403,17,PT10M35.00S,1,1610612738,BOS,201143,Horford,A. Horford,0,0,0,,0,,,0,v,Horford STEAL (1 STL),,,1,0,12,0042300403
0042300403,19,PT10M30.00S,1,1610612738,BOS,1628401,White,D. White,-167,185,25,Missed,1,,,0,v,MISS White 25' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,1,3,13,0042300403
0042300403,20,PT10M26.00S,1,1610612742,DAL,202681,Irving,K. Irving,0,0,0,,0,,,0,h,Irving REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,14,0042300403
0042300403,21,PT10M12.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,31,34,5,Made,1,9,2,11,h,Doncic 5' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,1,2,15,0042300403
0042300403,22,PT10M11.00S,1,0,,1610612738,,,0,0,0,,0,,,0,v,Celtics Timeout: Regular (Reg.1 Short 0),Timeout,Regular,0,0,16,0042300403
0042300403,23,PT09M55.00S,1,1610612738,BOS,201143,Horford,A. Horford,228,0,0,Made,1,9,5,14,v,Horford 3PT Jump Shot (5 PTS) (Brown 2 AST),Made Shot,Jump Shot,1,3,17,0042300403
0042300403,25,PT09M34.00S,1,1610612742,DAL,1627884,Jones Jr.,D. Jones Jr.,222,-13,0,Missed,1,,,0,h,MISS Jones Jr. 3PT Jump Shot,Missed Shot,Jump Shot,1,3,18,0042300403
0042300403,25,PT09M34.00S,1,1610612738,BOS,201143,Horford,A. Horford,0,0,0,,0,,,0,v,Horford BLOCK (1 BLK),,,1,3,19,0042300403
0042300403,27,PT09M34.00S,1,0,,1610612742,,,0,0,0,,0,,,0,h,MAVERICKS Rebound,Rebound,Unknown,0,0,20,0042300403
0042300403,29,PT09M32.00S,1,1610612742,DAL,202681,Irving,K. Irving,-36,50,6,Made,1,11,5,16,h,Irving 6' Jump Bank Shot (4 PTS) (Doncic 2 AST),Made Shot,Jump Bank Shot,1,2,21,0042300403
0042300403,31,PT09M15.00S,1,1610612738,BOS,1628401,White,D. White,224,4,0,Missed,1,,,0,v,MISS White 3PT Jump Shot,Missed Shot,Jump Shot,1,3,22,0042300403
0042300403,32,PT09M15.00S,1,1610612742,DAL,1629655,Gafford,D. Gafford,0,0,0,,0,,,0,h,Gafford REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,23,0042300403
0042300403,33,PT08M56.00S,1,1610612742,DAL,202681,Irving,K. Irving,-5,46,5,Missed,1,,,0,h,MISS Irving 5' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1,2,24,0042300403
0042300403,34,PT08M53.00S,1,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,v,Brown REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,25,0042300403
0042300403,35,PT08M47.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,-11,19,2,Missed,1,,,0,v,MISS Tatum 2' Running Layup,Missed Shot,Running Layup Shot,1,2,26,0042300403
0042300403,35,PT08M47.00S,1,1610612742,DAL,1629655,Gafford,D. Gafford,0,0,0,,0,,,0,h,Gafford BLOCK (1 BLK),,,1,2,27,0042300403
0042300403,37,PT08M45.00S,1,1610612738,BOS,201950,Holiday,J. Holiday,0,0,0,,0,,,0,v,Holiday REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,28,0042300403
0042300403,38,PT08M45.00S,1,1610612738,BOS,201950,Holiday,J. Holiday,-17,8,2,Missed,1,,,0,v,MISS Holiday 2' Putback Layup,Missed Shot,Putback Layup Shot,1,2,29,0042300403
0042300403,39,PT08M45.00S,1,1610612742,DAL,1629023,Washington,P. Washington,0,0,0,,0,,,0,h,Washington REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,30,0042300403
0042300403,40,PT08M45.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,v,Tatum P.FOUL (P1.T1) (K.Scott),Foul,Personal,1,0,31,0042300403
0042300403,42,PT08M33.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,137,221,26,Missed,1,,,0,h,MISS Doncic 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,32,0042300403
0042300403,43,PT08M29.00S,1,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,v,Brown REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,33,0042300403
0042300403,44,PT08M24.00S,1,1610612738,BOS,1627759,Brown,J. Brown,-34,248,25,Missed,1,,,0,v,MISS Brown 25' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,34,0042300403
0042300403,45,PT08M22.00S,1,1610612742,DAL,1629029,Dončić,L. Dončić,0,0,0,,0,,,0,h,Doncic REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,35,0042300403
0042300403,46,PT08M17.00S,1,1610612742,DAL,1629655,Gafford,D. Gafford,-23,23,3,Made,1,13,5,18,h,Gafford 3' Running Alley Oop Dunk Shot (2 PTS) (Washington 1 AST),Made Shot,Running Alley Oop Dunk Shot,1,2,36,0042300403
0042300403,48,PT07M57.00S,1,1610612738,BOS,201950,Holiday,J. Holiday,20,59,6,Missed,1,,,0,v,MISS Holiday 6' Driving Hook Shot,Missed Shot,Driving Hook Shot,1,2,37,0042300403
0042300403,49,PT07M54.00S,1,1610612742,DAL,1627884,Jones Jr.,D. Jones Jr.,0,0,0,,0,,,0,h,Jones Jr. REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,38,0042300403
0042300403,50,PT07M41.00S,1,1610612742,DAL,202681,Irving,K. Irving,-216,167,27,Missed,1,,,0,h,MISS Irving 27' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,39,0042300403
0042300403,51,PT07M39.00S,1,1610612738,BOS,1628369,Tatum,J. Tatum,0,0,0,,0,,,0,v,Tatum REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,40,0042300403
0042300403,52,PT07M24.00S,1,1610612738,BOS,201950,Holiday,J. Holiday,148,-8,15,Made,1,13,7,20,v,Holiday 15' Step Back Jump Shot (2 PTS),Made Shot,Step Back Jump shot,1,2,41,0042300403
0042300403,53,PT07M11.00S,1,1610612738,BOS,1627759,Brown,J. Brown,0,0,0,,0,,,0,v,Brown P.FOUL (P1.T2) (K.Scott),Foul,Personal,1,0,42,0042300403
